"Address space creep";FastMM5_FullDebug;2547;2547;122872
"Address space creep (larger blocks)";FastMM5_FullDebug;1140;1141;181072
"Array Upsize 1 thread";FastMM5_FullDebug;2453;2469;334072
"Block downsize";FastMM5_FullDebug;63;62;312184
"Block size spread";FastMM5_FullDebug;625;625;312184
"Double Variables Access  3 arrays at a time";FastMM5_FullDebug;1672;1672;340856
"Double Variables Access  6 arrays at a time";FastMM5_FullDebug;1734;1734;340856
"Double Variables Access 18 arrays at a time";FastMM5_FullDebug;1828;1828;340856
"Fill Char using 2 threads";FastMM5_FullDebug;1235;640;346488
"Fragmentation Test";FastMM5_FullDebug;5125;5125;413240
"Large block spread";FastMM5_FullDebug;63;63;345976
"Linked-list container";FastMM5_FullDebug;218;219;345968
"Many Short Lived Threads";FastMM5_FullDebug;22719;2859;353136
"Mem Free 1";FastMM5_FullDebug;282;282;354160
"Move 2 arrays at a time";FastMM5_FullDebug;2718;2719;379760
"Move 4 arrays at a time";FastMM5_FullDebug;2734;2750;379760
"Multi-threaded  2 allocate, use and free";FastMM5_FullDebug;1140;391;407408
"Multi-threaded  2 reallocate and use";FastMM5_FullDebug;266;93;413552
"Multi-threaded  4 allocate, use and free";FastMM5_FullDebug;1125;250;434032
"Multi-threaded  4 reallocate and use";FastMM5_FullDebug;297;78;440176
"Multi-threaded  8 allocate, use and free";FastMM5_FullDebug;1265;172;474992
"Multi-threaded  8 reallocate and use";FastMM5_FullDebug;375;79;481136
"Multi-threaded 12 allocate, use and free";FastMM5_FullDebug;1329;172;507760
"Multi-threaded 12 reallocate and use";FastMM5_FullDebug;359;47;515952
"Multi-threaded 16 allocate, use and free";FastMM5_FullDebug;1234;172;532336
"Multi-threaded 16 reallocate and use";FastMM5_FullDebug;422;62;544624
"Multi-threaded 31 allocate, use and free";FastMM5_FullDebug;1219;172;566128
"Multi-threaded 31 reallocate and use";FastMM5_FullDebug;453;63;584560
"Multi-threaded 64 allocate, use and free";FastMM5_FullDebug;1125;141;630640
"Multi-threaded 64 reallocate and use";FastMM5_FullDebug;485;62;637808
"NexusDB with  1 thread(s)";FastMM5_FullDebug;78;78;596848
"NexusDB with  2 thread(s)";FastMM5_FullDebug;93;46;597872
"NexusDB with  4 thread(s)";FastMM5_FullDebug;125;31;599920
"NexusDB with  8 thread(s)";FastMM5_FullDebug;125;16;604016
"NexusDB with 12 thread(s)";FastMM5_FullDebug;125;16;608112
"NexusDB with 16 thread(s)";FastMM5_FullDebug;125;16;612208
"NexusDB with 31 thread(s)";FastMM5_FullDebug;32;15;627568
"NexusDB with 64 thread(s)";FastMM5_FullDebug;124;16;661360
"Quick Sort Extended Array";FastMM5_FullDebug;219;31;604016
"Quick Sort Integer Array";FastMM5_FullDebug;31;31;596848
"Raw Performance  1 thread";FastMM5_FullDebug;297;297;595824
"Raw Performance  2 threads";FastMM5_FullDebug;1000;500;597872
"Raw Performance  4 threads";FastMM5_FullDebug;1188;343;599920
"Raw Performance  8 threads";FastMM5_FullDebug;3000;375;604016
"Raw Performance 12 threads";FastMM5_FullDebug;4531;594;608112
"Raw Performance 16 threads";FastMM5_FullDebug;6031;781;612208
"Raw Performance 31 threads";FastMM5_FullDebug;11829;1531;627568
"Raw Performance 64 threads";FastMM5_FullDebug;24406;3141;661360
"ReallocMem Large (1-952224b)";FastMM5_FullDebug;16;16;607152
"ReallocMem Medium (1-4039b)";FastMM5_FullDebug;31;31;601968
"ReallocMem Small (1-555b)";FastMM5_FullDebug;47;47;601968
"Single Variables Access  3 arrays at a time";FastMM5_FullDebug;2437;2437;651568
"Single Variables Access  6 arrays at a time";FastMM5_FullDebug;2234;2234;649072
"Single-threaded allocate, use and free";FastMM5_FullDebug;1516;1516;648048
"Single-threaded reallocate and use";FastMM5_FullDebug;62;63;648048
"Single-threaded tiny reallocate and use";FastMM5_FullDebug;8782;8782;648048
"Small upsize";FastMM5_FullDebug;312;313;648048
"Sort Extended Array";FastMM5_FullDebug;469;79;656240
"Sort Integer Array";FastMM5_FullDebug;15;16;649072
"String  2 Thread Test";FastMM5_FullDebug;3422;1719;648048
"String  4 Thread Test";FastMM5_FullDebug;4000;1063;648048
"String  8 Thread Test";FastMM5_FullDebug;5141;687;648048
"String 12 Thread Test";FastMM5_FullDebug;4968;656;651120
"String 16 Thread Test";FastMM5_FullDebug;5203;688;792432
"String 31 Thread Test";FastMM5_FullDebug;5047;672;835440
"String 64 Thread Test";FastMM5_FullDebug;5672;734;924528
"Tiny downsize";FastMM5_FullDebug;453;453;925232
"Transient threaded objects (96 threads)";FastMM5_FullDebug;485;63;1022832
"VerySmall downsize";FastMM5_FullDebug;10328;10328;1158064
