"Address space creep";FastMM4;5360;5359;565788
"Address space creep (larger blocks)";FastMM4;2672;2672;850612
"Array Upsize 1 thread";FastMM4;1437;1438;380532
"Block downsize";FastMM4;12297;12296;236660
"Block size spread";FastMM4;4656;4656;472180
"Double Variables Access  3 arrays at a time";FastMM4;1656;1657;124588
"Double Variables Access  6 arrays at a time";FastMM4;1703;1703;124588
"Double Variables Access 18 arrays at a time";FastMM4;1813;1813;124588
"Fill Char using 2 threads";FastMM4;4468;2250;128108
"Fragmentation Test";FastMM4;9625;9625;201772
"Large block spread";FastMM4;2875;2875;388524
"Linked-list container";FastMM4;3735;3735;833964
"Many Short Lived Threads";FastMM4;984;141;121004
"Mem Free 1";FastMM4;672;671;122028
"Move 2 arrays at a time";FastMM4;2828;2828;139948
"Move 4 arrays at a time";FastMM4;2891;2890;138924
"Multi-threaded  2 allocate, use and free";FastMM4;6484;2172;129452
"Multi-threaded  2 reallocate and use";FastMM4;7203;2438;132332
"Multi-threaded  4 allocate, use and free";FastMM4;8031;1625;139180
"Multi-threaded  4 reallocate and use";FastMM4;9515;1968;144620
"Multi-threaded  8 allocate, use and free";FastMM4;11688;1703;154796
"Multi-threaded  8 reallocate and use";FastMM4;11453;1734;167276
"Multi-threaded 12 allocate, use and free";FastMM4;12562;1609;170412
"Multi-threaded 12 reallocate and use";FastMM4;12657;1672;190892
"Multi-threaded 16 allocate, use and free";FastMM4;12735;1625;184748
"Multi-threaded 16 reallocate and use";FastMM4;12421;1687;212908
"Multi-threaded 31 allocate, use and free";FastMM4;13078;1672;243628
"Multi-threaded 31 reallocate and use";FastMM4;13094;1704;298988
"Multi-threaded 64 allocate, use and free";FastMM4;13329;1719;367020
"Multi-threaded 64 reallocate and use";FastMM4;13781;1750;482860
"NexusDB with  1 thread(s)";FastMM4;5812;5813;139948
"NexusDB with  2 thread(s)";FastMM4;6625;3328;158892
"NexusDB with  4 thread(s)";FastMM4;8593;2281;195500
"NexusDB with  8 thread(s)";FastMM4;11297;1766;267436
"NexusDB with 12 thread(s)";FastMM4;16095;2172;339372
"NexusDB with 16 thread(s)";FastMM4;11811;1609;410028
"NexusDB with 31 thread(s)";FastMM4;12079;1593;680108
"NexusDB with 64 thread(s)";FastMM4;17281;2281;1271980
"Quick Sort Extended Array";FastMM4;24938;4469;129196
"Quick Sort Integer Array";FastMM4;2266;2266;122028
"Raw Performance  1 thread";FastMM4;5531;5531;190636
"Raw Performance  2 threads";FastMM4;7062;3547;140140
"Raw Performance  4 threads";FastMM4;12687;3187;159596
"Raw Performance  8 threads";FastMM4;22609;3344;197228
"Raw Performance 12 threads";FastMM4;25485;3688;233580
"Raw Performance 16 threads";FastMM4;24344;3141;271212
"Raw Performance 31 threads";FastMM4;23656;3094;409580
"Raw Performance 64 threads";FastMM4;52344;6719;714668
"ReallocMem Large (1-952224b)";FastMM4;12016;12016;1300076
"ReallocMem Medium (1-4039b)";FastMM4;1984;1985;122284
"ReallocMem Small (1-555b)";FastMM4;1422;1422;121004
"Single Variables Access  3 arrays at a time";FastMM4;2453;2453;124588
"Single Variables Access  6 arrays at a time";FastMM4;2219;2219;122028
"Single-threaded allocate, use and free";FastMM4;17328;17329;676204
"Single-threaded reallocate and use";FastMM4;6328;6328;1026924
"Single-threaded tiny reallocate and use";FastMM4;3015;3016;121004
"Small upsize";FastMM4;4485;4485;136684
"Sort Extended Array";FastMM4;44547;7657;129196
"Sort Integer Array";FastMM4;9109;9110;122028
"String  2 Thread Test";FastMM4;11375;5750;122284
"String  4 Thread Test";FastMM4;17718;4546;122284
"String  8 Thread Test";FastMM4;29281;4391;122284
"String 12 Thread Test";FastMM4;29657;4547;122284
"String 16 Thread Test";FastMM4;32078;4500;122284
"String 31 Thread Test";FastMM4;34172;4594;122028
"String 64 Thread Test";FastMM4;35203;4719;123308
"Tiny downsize";FastMM4;2593;2594;129068
"Transient threaded objects (96 threads)";FastMM4;6688;921;220332
"VerySmall downsize";FastMM4;516;516;125164
