"Address space creep";FastMM5_FullDebug;1437;1437;116376
"Address space creep (larger blocks)";FastMM5_FullDebug;1016;1015;174576
"Array Upsize 1 thread";FastMM5_FullDebug;1719;1719;399216
"Block downsize";FastMM5_FullDebug;47;47;377328
"Block size spread";FastMM5_FullDebug;375;375;377328
"Double Variables Access  3 arrays at a time";FastMM5_FullDebug;1750;1766;409328
"Double Variables Access  6 arrays at a time";FastMM5_FullDebug;1734;1735;409328
"Double Variables Access 18 arrays at a time";FastMM5_FullDebug;1781;1782;409328
"Fill Char using 2 threads";FastMM5_FullDebug;1626;813;415920
"Fragmentation Test";FastMM5_FullDebug;2249;2328;443248
"Large block spread";FastMM5_FullDebug;62;63;411120
"Linked-list container";FastMM5_FullDebug;125;125;339480
"Many Short Lived Threads";FastMM5_FullDebug;11485;1500;399896
"Mem Free 1";FastMM5_FullDebug;156;188;401176
"Move 2 arrays at a time";FastMM5_FullDebug;2672;2672;423704
"Move 4 arrays at a time";FastMM5_FullDebug;2781;2781;423704
"Multi-threaded  2 allocate, use and free";FastMM5_FullDebug;563;312;408600
"Multi-threaded  2 reallocate and use";FastMM5_FullDebug;156;109;408600
"Multi-threaded  4 allocate, use and free";FastMM5_FullDebug;625;203;420888
"Multi-threaded  4 reallocate and use";FastMM5_FullDebug;125;63;423448
"Multi-threaded  8 allocate, use and free";FastMM5_FullDebug;875;140;471576
"Multi-threaded  8 reallocate and use";FastMM5_FullDebug;250;78;479512
"Multi-threaded 12 allocate, use and free";FastMM5_FullDebug;906;156;529432
"Multi-threaded 12 reallocate and use";FastMM5_FullDebug;219;79;539928
"Multi-threaded 16 allocate, use and free";FastMM5_FullDebug;890;156;571672
"Multi-threaded 16 reallocate and use";FastMM5_FullDebug;235;78;586264
"Multi-threaded 31 allocate, use and free";FastMM5_FullDebug;937;156;623896
"Multi-threaded 31 reallocate and use";FastMM5_FullDebug;235;78;651544
"Multi-threaded 64 allocate, use and free";FastMM5_FullDebug;984;157;710936
"Multi-threaded 64 reallocate and use";FastMM5_FullDebug;281;78;733720
"NexusDB with  1 thread(s)";FastMM5_FullDebug;47;47;662296
"NexusDB with  2 thread(s)";FastMM5_FullDebug;63;31;663576
"NexusDB with  4 thread(s)";FastMM5_FullDebug;62;16;666136
"NexusDB with  8 thread(s)";FastMM5_FullDebug;125;15;671256
"NexusDB with 12 thread(s)";FastMM5_FullDebug;63;16;676376
"NexusDB with 16 thread(s)";FastMM5_FullDebug;125;15;681496
"NexusDB with 31 thread(s)";FastMM5_FullDebug;0;0;696856
"NexusDB with 64 thread(s)";FastMM5_FullDebug;125;16;739096
"Quick Sort Extended Array";FastMM5_FullDebug;343;46;667416
"Quick Sort Integer Array";FastMM5_FullDebug;16;16;658456
"Raw Performance  1 thread";FastMM5_FullDebug;125;125;657176
"Raw Performance  2 threads";FastMM5_FullDebug;375;187;659736
"Raw Performance  4 threads";FastMM5_FullDebug;406;109;662296
"Raw Performance  8 threads";FastMM5_FullDebug;1250;157;667416
"Raw Performance 12 threads";FastMM5_FullDebug;1890;250;672536
"Raw Performance 16 threads";FastMM5_FullDebug;2516;329;677656
"Raw Performance 31 threads";FastMM5_FullDebug;4969;640;696856
"Raw Performance 64 threads";FastMM5_FullDebug;10235;1297;739096
"ReallocMem Large (1-952224b)";FastMM5_FullDebug;16;16;668504
"ReallocMem Medium (1-4039b)";FastMM5_FullDebug;46;47;663320
"ReallocMem Small (1-555b)";FastMM5_FullDebug;79;78;663320
"Single Variables Access  3 arrays at a time";FastMM5_FullDebug;1578;1578;710104
"Single Variables Access  6 arrays at a time";FastMM5_FullDebug;1344;1344;707608
"Single-threaded allocate, use and free";FastMM5_FullDebug;969;969;706328
"Single-threaded reallocate and use";FastMM5_FullDebug;46;47;706328
"Single-threaded tiny reallocate and use";FastMM5_FullDebug;7985;8000;706328
"Small upsize";FastMM5_FullDebug;235;234;706328
"Sort Extended Array";FastMM5_FullDebug;656;109;716568
"Sort Integer Array";FastMM5_FullDebug;16;16;707608
"String  2 Thread Test";FastMM5_FullDebug;1859;938;706328
"String  4 Thread Test";FastMM5_FullDebug;2297;625;706328
"String  8 Thread Test";FastMM5_FullDebug;2937;406;706328
"String 12 Thread Test";FastMM5_FullDebug;2813;407;706328
"String 16 Thread Test";FastMM5_FullDebug;2875;407;706328
"String 31 Thread Test";FastMM5_FullDebug;2641;360;706328
"String 64 Thread Test";FastMM5_FullDebug;2937;391;706328
"Tiny downsize";FastMM5_FullDebug;281;282;706328
"Transient threaded objects (96 threads)";FastMM5_FullDebug;250;32;829208
"VerySmall downsize";FastMM5_FullDebug;6501;6500;867672
