"Address space creep";TCMalloc;3890;3890;545788
"Address space creep (larger blocks)";TCMalloc;2906;2906;934740
"Array Upsize 1 thread";TCMalloc;1735;1734;1463188
"Block downsize";TCMalloc;11875;11875;1463188
"Block size spread";TCMalloc;3875;3875;1463188
"Double Variables Access  3 arrays at a time";TCMalloc;1734;1734;1464204
"Double Variables Access  6 arrays at a time";TCMalloc;1766;1766;1464204
"Double Variables Access 18 arrays at a time";TCMalloc;2687;2688;1464204
"Fill Char using 2 threads";TCMalloc;1375;750;1465228
"Fragmentation Test";TCMalloc;7282;7281;1463180
"Large block spread";TCMalloc;2500;2500;1463180
"Linked-list container";TCMalloc;3267;3266;1463180
"Many Short Lived Threads";TCMalloc;655;109;1464204
"Mem Free 1";TCMalloc;860;859;1462156
"Move 2 arrays at a time";TCMalloc;2796;2797;1462156
"Move 4 arrays at a time";TCMalloc;2797;2797;1462156
"Multi-threaded  2 allocate, use and free";TCMalloc;5548;1859;1463180
"Multi-threaded  2 reallocate and use";TCMalloc;6422;2172;1463180
"Multi-threaded  4 allocate, use and free";TCMalloc;7078;1453;1465228
"Multi-threaded  4 reallocate and use";TCMalloc;8469;1750;1465228
"Multi-threaded  8 allocate, use and free";TCMalloc;10328;1437;1469324
"Multi-threaded  8 reallocate and use";TCMalloc;11094;1532;1469324
"Multi-threaded 12 allocate, use and free";TCMalloc;10812;1469;1473420
"Multi-threaded 12 reallocate and use";TCMalloc;11282;1546;1473420
"Multi-threaded 16 allocate, use and free";TCMalloc;10999;1484;1477516
"Multi-threaded 16 reallocate and use";TCMalloc;11704;1531;1477516
"Multi-threaded 31 allocate, use and free";TCMalloc;11703;1500;1492876
"Multi-threaded 31 reallocate and use";TCMalloc;12031;1546;1492876
"Multi-threaded 64 allocate, use and free";TCMalloc;12079;1531;1526668
"Multi-threaded 64 reallocate and use";TCMalloc;12421;1578;1526668
"NexusDB with  1 thread(s)";TCMalloc;6750;6750;1462156
"NexusDB with  2 thread(s)";TCMalloc;7532;3797;1463180
"NexusDB with  4 thread(s)";TCMalloc;8531;2328;1465228
"NexusDB with  8 thread(s)";TCMalloc;11328;1500;1469324
"NexusDB with 12 thread(s)";TCMalloc;14328;2344;1473420
"NexusDB with 16 thread(s)";TCMalloc;10781;1421;1477516
"NexusDB with 31 thread(s)";TCMalloc;10297;1375;1492876
"NexusDB with 64 thread(s)";TCMalloc;14032;1859;1526668
"Quick Sort Extended Array";TCMalloc;24938;3797;1469324
"Quick Sort Integer Array";TCMalloc;2265;2265;1462156
"Raw Performance  1 thread";TCMalloc;1578;1578;1461132
"Raw Performance  2 threads";TCMalloc;1297;937;1463180
"Raw Performance  4 threads";TCMalloc;1250;797;1465228
"Raw Performance  8 threads";TCMalloc;1203;750;1469324
"Raw Performance 12 threads";TCMalloc;1656;797;1473420
"Raw Performance 16 threads";TCMalloc;1781;766;1477516
"Raw Performance 31 threads";TCMalloc;2046;594;1492876
"Raw Performance 64 threads";TCMalloc;8532;1313;1526668
"ReallocMem Large (1-952224b)";TCMalloc;5203;5203;1461132
"ReallocMem Medium (1-4039b)";TCMalloc;2250;2250;1461132
"ReallocMem Small (1-555b)";TCMalloc;1781;1781;1461132
"Single Variables Access  3 arrays at a time";TCMalloc;2438;2437;1462156
"Single Variables Access  6 arrays at a time";TCMalloc;2265;2266;1462156
"Single-threaded allocate, use and free";TCMalloc;14938;14938;1461132
"Single-threaded reallocate and use";TCMalloc;6203;6203;1461132
"Single-threaded tiny reallocate and use";TCMalloc;3906;3906;1461132
"Small upsize";TCMalloc;4781;4781;1461132
"Sort Extended Array";TCMalloc;43813;7422;1469324
"Sort Integer Array";TCMalloc;9078;9078;1462156
"String  2 Thread Test";TCMalloc;9579;4985;1461132
"String  4 Thread Test";TCMalloc;15125;4407;1461132
"String  8 Thread Test";TCMalloc;21046;4313;1461132
"String 12 Thread Test";TCMalloc;25063;4219;1461132
"String 16 Thread Test";TCMalloc;28438;4062;1461132
"String 31 Thread Test";TCMalloc;30593;4015;1461132
"String 64 Thread Test";TCMalloc;30281;3875;1461132
"Tiny downsize";TCMalloc;3016;3047;1461132
"Transient threaded objects (96 threads)";TCMalloc;1343;172;1559436
"VerySmall downsize";TCMalloc;516;515;1461132
