"Test";"Manager";"CPU(ms) Default_64";"Ticks(ms) Default_64";"Memory(Kb) Default_64";"CPU(%) FastMM4_64";"Ticks(%) FastMM4_64";"Memory(%) FastMM4_64";"CPU(%) FastMM4_FullDebug_64";"Ticks(%) FastMM4_FullDebug_64";"Memory(%) FastMM4_FullDebug_64";"CPU(%) FastMM5_64";"Ticks(%) FastMM5_64";"Memory(%) FastMM5_64";"CPU(%) FastMM5_FullDebug_64";"Ticks(%) FastMM5_FullDebug_64";"Memory(%) FastMM5_FullDebug_64";"CPU(%) ScaleMM2_64";"Ticks(%) ScaleMM2_64";"Memory(%) ScaleMM2_64";"CPU(%) TCMAlloc_64";"Ticks(%) TCMAlloc_64";"Memory(%) TCMAlloc_64";
"Address space creep";"Default";"4438";"4438";"569084";"120.775123929698";"120.752591257323";"99.4208236393924";"25.3492564218116";"25.3492564218116";"22.1816111505507";"120.414601171699";"120.414601171699";"97.3459102698371";"57.3907165389815";"57.3907165389815";"21.5911886470187";"140.806669671023";"140.829202343398";"131.534184760071";"87.6520955385309";"87.6520955385309";"95.9064039755115";
"Address space creep (larger blocks)";"Default";"2109";"2109";"853908";"126.6951161688";"126.6951161688";"99.6140099401809";"31.8634423897582";"31.8634423897582";"21.3587412227078";"134.850640113798";"134.850640113798";"99.8800807581145";"54.0540540540541";"54.1014698909436";"21.205094694042";"193.409198672357";"193.361782835467";"99.7601615162289";"137.790422000948";"137.790422000948";"109.46612515634";
"Array Upsize 1 thread";"Default";"1360";"1359";"383828";"105.661764705882";"105.813097866078";"99.1412820325771";"125.294117647059";"126.490066225166";"87.5683900080244";"98.8235294117647";"98.8962472406181";"106.569609304167";"180.367647058824";"181.67770419426";"87.0369019456632";"98.8235294117647";"98.822663723326";"96.1149264774847";"127.573529411765";"127.593818984547";"381.20929166189";
"Block downsize";"Default";"10281";"10281";"239956";"119.608987452582";"119.599260772298";"98.6264148427212";"2.13014298220018";"2.13014298220018";"183.243594659021";"140.278183056123";"140.278183056123";"100.213372451616";"0.612780857893201";"0.603054177609182";"130.100518428379";"153.039587588756";"153.039587588756";"177.454199936655";"115.504328372726";"115.504328372726";"609.773458467386";
"Block size spread";"Default";"4328";"4328";"475476";"107.578558225508";"107.578558225508";"99.3067999226039";"6.83918669131238";"6.86229205175601";"94.6302231868696";"113.00831792976";"112.985212569316";"100.321362171803";"14.4408502772643";"14.4408502772643";"65.6571519908471";"124.560998151571";"124.537892791128";"129.180021704566";"89.5332717190388";"89.5332717190388";"307.731199892318";
"Double Variables Access  3 arrays at a time";"Default";"1687";"1687";"127892";"98.1624184943687";"98.221695317131";"97.4165702311325";"98.221695317131";"98.1624184943687";"369.630625840553";"99.1108476585655";"100";"110.402527132268";"99.1108476585655";"99.1108476585655";"266.51862508992";"99.1108476585655";"99.0515708358032";"113.608357051262";"102.786010669828";"102.786010669828";"1144.87536358803";
"Double Variables Access  6 arrays at a time";"Default";"1735";"1734";"127884";"98.1556195965418";"98.2122260668973";"97.4226642895124";"97.2334293948127";"97.3471741637832";"369.653748709768";"99.9423631123919";"100";"110.409433549154";"99.9423631123919";"100";"266.535297613462";"97.2334293948127";"98.2122260668973";"113.615464014263";"101.78674351585";"101.845444059977";"1144.94698320353";
"Double Variables Access 18 arrays at a time";"Default";"1781";"1796";"127884";"101.796743402583";"100.946547884187";"97.4226642895124";"101.796743402583";"100.946547884187";"369.653748709768";"105.277933745087";"104.398663697105";"110.409433549154";"102.638966872544";"101.781737193764";"266.535297613462";"107.916900617631";"107.015590200445";"113.615464014263";"150.870297585626";"149.665924276169";"1144.94698320353";
"Fill Char using 2 threads";"Default";"3657";"2172";"133260";"122.176647525294";"103.591160220994";"96.1338736304968";"22.6415094339623";"19.4290976058932";"359.735854720096";"111.922340716434";"95.6721915285451";"110.709890439742";"33.7708504238447";"29.4659300184162";"260.009004952724";"78.5890073831009";"69.7974217311234";"112.636950322677";"37.599124965819";"34.5303867403315";"1099.52573915654";
"Fragmentation Test";"Default";"10030";"10031";"205068";"95.9621136590229";"95.9525471039777";"98.392728265746";"34.7357926221336";"34.7323297776892";"264.322078530049";"76.0319042871386";"76.1738610308045";"109.33153880664";"51.0967098703888";"51.0916159904297";"201.513644254589";"134.137587238285";"134.114245837903";"105.621549924903";"72.6021934197408";"72.5849865417207";"713.509665086703";
"Large block spread";"Default";"2859";"2859";"391820";"100.559636236446";"100.559636236446";"99.1587974069726";"2.16859041622945";"2.20356768100735";"121.041294471951";"98.3910458202169";"98.3910458202169";"97.7132356694401";"2.20356768100735";"2.20356768100735";"88.2997294676127";"96.1874781392095";"96.1874781392095";"100.067377877597";"87.4431619447359";"87.4431619447359";"373.43167781124";
"Linked-list container";"Default";"3594";"3593";"837260";"103.923205342237";"103.952129139994";"99.6063349497169";"3.47801892042293";"3.47898691900918";"59.090843943339";"98.692264885921";"98.7197328138046";"101.498220385543";"6.06566499721758";"6.09518508210409";"41.3214533119939";"140.818030050083";"140.885054272196";"121.67928719872";"90.9015025041736";"90.898970219872";"174.758139645988";
"Many Short Lived Threads";"Default";"32";"1781";"124300";"3075";"7.91690061763054";"97.34835076428";"84278.125";"192.981471083661";"407.697506033789";"2781.25";"7.01852891633914";"113.592920353982";"70996.875";"160.527793374509";"284.099758648431";"1612.5";"5.22178551375632";"117.811745776348";"2046.875";"6.12015721504773";"1177.95977473854";
"Mem Free 1";"Default";"672";"671";"125324";"100";"100";"97.3700169161533";"30.2083333333333";"30.2533532041729";"430.717181066675";"97.6190476190476";"97.9135618479881";"115.933101401168";"41.9642857142857";"42.026825633383";"282.595512431777";"179.166666666667";"179.284649776453";"115.21496281638";"127.97619047619";"128.017883755589";"1166.70071175513";
"Move 2 arrays at a time";"Default";"2765";"2766";"142220";"102.278481012658";"102.241503976862";"98.4024750386725";"97.7576853526221";"97.7223427331887";"392.867388552946";"98.3363471971067";"98.3007953723789";"112.960202503164";"98.3001808318264";"98.3007953723789";"267.02292223316";"99.4575045207957";"99.4215473608098";"115.927436366193";"101.121157323689";"101.120751988431";"1028.09450147659";
"Move 4 arrays at a time";"Default";"2797";"2797";"142220";"103.360743653915";"103.324991061852";"97.6824637884967";"98.8559170539864";"98.8916696460493";"392.867388552946";"98.8559170539864";"98.8916696460493";"112.960202503164";"97.7475867000358";"98.3196281730425";"267.02292223316";"100";"100";"115.927436366193";"100";"100";"1028.09450147659";
"Multi-threaded  2 allocate, use and free";"Default";"5875";"2953";"134028";"110.365957446809";"73.5523196749069";"96.5857880442893";"12.5106382978723";"8.46596681341009";"405.41976303459";"95.7446808510638";"63.4947511005757";"109.168233503447";"19.4042553191489";"13.2407720961734";"303.972304294625";"79.7957446808511";"52.8953606501862";"109.260751484764";"94.4340425531915";"62.9529292245174";"1091.69725728952";
"Multi-threaded  2 reallocate and use";"Default";"5219";"2515";"136908";"138.014945391838";"96.9383697813121";"96.6576094895842";"4.50277831002108";"3.1013916500994";"396.891343091711";"101.207127802261";"70.2186878727634";"106.871767902533";"5.09676183176854";"3.69781312127237";"302.065620708797";"102.069361946733";"70.8151093439364";"106.962339673357";"123.050392795555";"86.3618290258449";"1068.73228737546";
"Multi-threaded  4 allocate, use and free";"Default";"6266";"3156";"141196";"128.167890201085";"51.489226869455";"98.5721975126774";"13.9482923715289";"6.90747782002535";"386.288563415394";"116.453878072135";"48.0354879594423";"102.900932037735";"17.9540376635812";"7.92141951837769";"307.396810107935";"97.765719757421";"42.553865652725";"112.416782345109";"112.958825406958";"46.0392902408112";"1037.72628119777";
"Multi-threaded  4 reallocate and use";"Default";"5265";"2343";"147916";"180.721747388414";"83.9948783610755";"97.7717082668542";"5.05223171889839";"2.68886043533931";"368.739014034993";"135.935422602089";"65.3435766111822";"98.2260201736121";"5.64102564102564";"3.32906530089629";"297.585115876579";"141.861348528015";"71.3615023474178";"109.386408502123";"160.854700854701";"74.6905676483141";"990.581140647394";
"Multi-threaded  8 allocate, use and free";"Default";"6188";"3156";"156812";"188.881706528765";"53.9607097591888";"98.7143841032574";"17.9379444085326";"4.46768060836502";"351.248628931459";"180.542986425339";"46.0392902408112";"99.1837359385761";"20.442792501616";"5.44993662864385";"302.905389893631";"181.787330316742";"45.0570342205323";"118.20013774456";"166.903684550743";"45.532319391635";"936.997168584037";
